Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
pramodlord,PayTM issued Rupay Debit Cards to cut Airport Lounge Access benefits from January 2020.
spansrao,But there was no message nor did they return the add on amount The courier did@not make any call and when we called… https://t.co/wBzvtaEWYM
spansrao,"Ordered PayTm Fastag on 25/11 EDD 28/11 After one month due to “ too many orders”, it was handed over to the courie… https://t.co/aVwQNvO6Js"
PearlAmit1,"@narendramodi @PMOIndia @cmohry @anilvijminister @Dchautala
 in Digital India got fraud or cheated online through p… https://t.co/tEeRrdQcxH"
NRajandharan,implement  #gpay #paytm +card swiper  @RohiniSilverScr #Tindivanam ticket counter..people who are coming in last Mi… https://t.co/CFRCRNprXS
sreemannarayan1,"Dear @Paytm  ur UPI referral system is not working properly, pls review it."
suranasaurabh55,"@bluemountro Done Ready team
#quiz #winner #paytm #prize #cash"
amitagarwal909,"@Paytm @Paytmcare @vijayshekhar 
Hi Team,

I have already requested for surrender my Paytm machine 1 month back, ho… https://t.co/lHGJ1UasP0"
Shubham11357410,"Dear @vijayshekhar , @Paytm is emerging to be one of the most irresponsible companies I've ever had to interact wit… https://t.co/frsf6l7cqH"
samraatofficial,"@Airtel_Presence @Paytmcare  says that offer is from ur side, while u guys said that it's from Paytm end, 😂😂🤦‍♂️"
kishorgehlot72,They are doing fraud the name of @adgpi  name Person name of Manjit singh calling me and what’sapp this Qr code for… https://t.co/wpa0LfRsmY
paytmbankcare,"@thiyaga2696 Hi! As per your request, your Paytm account registered with mobile number xxxxxx9512 has been closed a… https://t.co/yUEw1a31lH"
BiggDeals4U,"Helo App Update : Get FREE #Paytm Cash 

Open App &gt;  Tap on Cash Dhamaka
 &gt; Tap On Shake Button &gt; Win unlimited Mon… https://t.co/n970pzZJoY"
n_suri2004,@nila3333 Adhaar is linked to everything now. Try doing your KYC of Paytm with any other document or try for a loan… https://t.co/pSwqLdmOBl
n_suri2004,@amitabhafirst The Adhaar Card was designed to meet this very requirement. The linking with everything including ev… https://t.co/uIMvZDI29G
gizbot,"Wanted to buy an Oppo smartphone and waiting for the right offer? @oppomobileindia @Paytm 
https://t.co/oVhzUwBns2"
ShreyaS70301169,"Hii guys available with new videos chck details below nd if intrstd thn txt to buy now.....

Only paytm nd gpay ava… https://t.co/mYKO5Mmd5E"
Iqbalve123,Refer and earn instant paytm cash 2020 malayalam || instant paytm cash e... https://t.co/QEoZSdy834 via @YouTube
_A_j_i_t,@paytmbankcare Exactly.. Then why am I not given cashback when you are yourself admitting I finally made the paymen… https://t.co/pbalAmCO04
ManishTumbde,@Paytm @Paytmcare @reliancejio I once used Paytm to recharge the number which is with my son. Today he recharged hi… https://t.co/rBNOJkG4QN
Paytmcare,"@AgautamRavi Hi Ravi, your bill payment of AMEX Credit Card is successful at our end and you can also check the sam… https://t.co/RjJZHMn8I4"
paytmbankcare,"@atulk16 Hi Atul! Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays wi… https://t.co/CMG7BENDfS"
ChauhanSingh,"@niketsocial @Paytm @Paytmcare Thanks, I did that now."
sravan1802,@Paytmcare Thanks. I have reached out to them and I was told that nothing changed from their end. I have been using… https://t.co/uigKbQCImL
RohiraGirish,"@Paytm @Paytmcare @PaytmTravel ticket number 149987894. More than 7 days have passed, but no one has called back. Issue not resolved"
paytmbankcare,"@Mukesh39332238 Hi Mukesh! As per your request, your mobile number is now available to be created a new account at… https://t.co/whqWVXkcx9"
AgautamRavi,@Paytmcare As discussed with Arun from Paytm kindly gimme a call back on the 27th Dec 7pm with the resolution on th… https://t.co/g4lb2pV8jn
SaveUcs,"MI PAY Cashback, SlingPe Merchant, Year End Sale, PayPal Christmas Gift, Grabon-Paytm Offer !!… https://t.co/OPlxskz0hh"
eclipsrosie,@lisavolution then paytm me some cash so i can paytm you the cash
rajpoot_reyansh,@ZomatoIN THE WORST EVER APP SOMEONE HACKED MY ACCOUNT AND USED MY PAYTM LINKED ACCOUNT AND FRAUDLY ORDERED FOOD FR… https://t.co/GIgoL1YMCI
JagoGrahakJagoo,"amount deduct by paytm: Dear Sir, On 22nd Dec.2019 i have order in flip kart for new mobile… https://t.co/mSQqN8uuUR"
VivekGhag7,Toll amount charged twice one with paytm fastag and another cash at anewadi tool plaza is this new way to loot peop… https://t.co/SAxFqnwqQb
Paytmcare,"@Er_Anupam Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreov… https://t.co/C8AfZwlJhM"
sunildata69,"@Paytmcare you have a very poor customer care system at paytm app.
See below query I raised and reply I get from th… https://t.co/xle9VuXzxq"
SwapnilS18,"@Paytm  booked Activa 5G on paytm on 05th Dec 2019, but @Paytm took almost 15 days to transfer the amount to dealer… https://t.co/9DaZpQkpU9"
Abadh4u,"@PaytmMall Dear paytm ,
I have received wrong product with order ID 9811980530.
While i have provided all the infor… https://t.co/44omFMh6SP"
malubhai10,"@vinodsajnani @kumarmanish9 @Paytm Try finding these numbers on truecaller, they are all fake."
paytmbankcare,"@anup2180 Hi Anup, please follow the below mentioned steps to resolve the issue:
1 - Update your Paytm app to the l… https://t.co/5cdUDlDZBP"
OpinioninDemoc1,"@curryputtar @aravindgogineni Other factors (leki propaganda by IPAC &amp; paytm batch) dominated this this emotion.

T… https://t.co/nWKmiXDlz7"
ng_suhas,"Dear Santa,
CC: @jesus

Don't buy gifts for me! 
Instead of it, give it as a cash!

PS: GPay &amp; Paytm available… https://t.co/vClXmMKGkK"
niketsocial,@ChauhanSingh @Paytm @Paytmcare Try deactivating fastag to avoid future misuse or till the time u again hit NH. The… https://t.co/OGHGJCdnxC
Paytmcare,"@Harshit71345465 Hi Harshit, apologies for the inconvenience, we have fixed the issue and unblocked your Paytm acco… https://t.co/AYjAEvOs4e"
R_K_AGARWAL_,"Dear @Paytmcare @PaytmBank @Paytm 
after waiting for 1 month the issue relating to fastag closing is not resolved.… https://t.co/eLtUSjFghQ"
SulavIndian,Stop using #Paytm they gave me false cashback offer voucher.
lisavolution,@eclipsrosie paytm me the cash and i'll buy u a gift
ankurga01714361,"#paytm customer care number __/
Call___8101621519___9382521168_
P2P payment all bank upi transaction Paytm full KYC… https://t.co/eTQzu2e376"
Hyderaabadi,@umasudhir @YSRCParty @ysjagan @ndtv Doing justice for the Paytm receipts. @PrannoyRoyNDTV Please maintain standard… https://t.co/5FftJhKgDp
KumarrMohitryan,@Paytm how to delete paytm login account? I also put query on app bit no response..had to delete my 1 account and will use another one..
Paytmcare,"@kohli_seenu Hi, we are keen to help. Kindly elaborate your concern along with your Paytm registered mobile number… https://t.co/mWeOYQF8GV"
RashmiJ99905681,@sudhirpatro68 @Paytm @Paytmcare @vijayshekhar @paytmbankcare Be assured @Paytm will not help us.They knw how to es… https://t.co/GIXwdYNF5R
lisavolution,"merry christmas everyone!
now paytm me some money so i can eat a cake😤"
suvam_biswas_,"Paytm New #Christmas Offer ₹25 Cashback For All User...
Link : https://t.co/GS6ex2VGLW

#ChristmasJoyAndMe… https://t.co/iHVSoK6gam"
ParthaBarman,30 days and counting... @Paytm @paytmbankcare @Paytmcare since there's been drastic delay in rectifying my #FASTAG… https://t.co/aGlVye9IOP
atulk16,@Paytmcare @Paytm I placed an order 9911290862 on 15 Dec but not delivered to me yet. Several time connect to care… https://t.co/KGpuWvPcug
Paytmcare,"@NProddaturi Hi Nagateja, please be informed that Paytm first membership will be activated within 7 days automatica… https://t.co/IJoR4A87DH"
ChauhanSingh,Dear @Paytm @Paytmcare #FASTag transactions are happinng on my fastag account somewhere in South India although me… https://t.co/f9diIvfxyf
Santhosh2290,😂😂😂😂🤣🤣🤣@ysjagan @YSRCParty #Paytm 🐕 spread cheyandi.. https://t.co/fhie4HZYoK
Paytmcare,"@MalojirajePawar Hi,
Paytm has no relation whatsoever with such sms/s. We suggest you to not to respond to it. It m… https://t.co/LQXFZvdWKb"
SaveUcs,Earn Daily ₹15 To ₹30 By Accept Payments | Paytm New ₹100 Cashback And Bug  | Google Pay New offer… https://t.co/VkLWRhkyT0
paytmbankcare,@divyansh3687 Hi ! This amount will be refunded at the time of tag closure .The total amount will automatically ref… https://t.co/XkmDgNTZhp
PSisodya,@Paytmcare hotel owner says we have not register on @Paytm how you guys can book a ticket. he asking for money… https://t.co/XDSwSeOc6C
SalMansCommando,"Celebrate #Christmas &amp; #SalmanKhan Birthday With Your Friends/Family 😍

Go &amp; Watch #Dabangg3 NonStop
 😊… https://t.co/PAdNd5ew6f"
HearMeNRejoice,@Paytmcare I am getting Rs 1.50 credit in my paytm linked bank account through paytm UPI on 24th day since last mon… https://t.co/GABzN7x4sW
Paytmcare,"@arvvvindd Hi Arvind, please note, minimum age required for applying a Paytm First Card is 23 years."
anand_mamgai,@Paytmcare i have done wrong transactions i was supposed to send money to my friend but it went to some Aaswad kitc… https://t.co/iT4pPgjrOh
onlyvimal4u,@paytmbankcare @dalveerchandel I faced the same fraudulent situation. After 27 days of irritating replies from… https://t.co/Bhcck3LFYV
paytmbankcare,"@gaurava55022345 @Paytm @nitin_gadkari Hi, kindly share the clear RC copy (both front and back side) along with Bar… https://t.co/krxPekUOif"
snklpj,@madanjangid7777 @Rahul__Tweet @BCCI @Paytm Are you talking about Venkatesh Prasad who was a fast bowler? MSK Prasa… https://t.co/DKwWpjYO6R
onlyvimal4u,@paytmbankcare @ChiragG1994 I faced the same fraudulent situation. After 27 days of irritating replies from @paytm… https://t.co/ufS1xeuNuv
RashmiJ99905681,@sudhirpatro68 You atleast received 1 sms...i dint receive any thing...neither otp..nor sms and got to knw after 2d… https://t.co/lcIfm6Ynao
kautukr,@LiveFromALounge Under Rates &amp; Charges on the Paytm Bank website.
madanjangid7777,@snklpj @Rahul__Tweet @BCCI @Paytm He is not keeper bro
Praveen32417400,"@rsprasad paytm is charging convince fee, digital India getting costlier now
@RBI paytm is charging convince fee, d… https://t.co/V4Ur6daLZN"
Praveen32417400,"@Paytm paytm is charging convince fee, digital India getting costlier now"
FirstInsCanada,"FIRST Pay™, our certified integration allows Applied Epic® users the ability to provide payment plans with the poli… https://t.co/94wq4dalh2"
tashidorje3377,@Paytm @Paytmcare my kyc expired suddenly after the day i recharged my wallet with rs.1000. Since i don't want to g… https://t.co/6CAKajMCSU
NProddaturi,@Paytmcare I have started using my new Paytm First credit card yesterday but my Paytm first membership has not been… https://t.co/BDPXaljVBt
SwetaDash93,".@no2uid @aadharscam @digitaldutta @godavar (to name a few) have been screaming about issues related to privacy,dat… https://t.co/VzZj10KOnj"
hindustanwale,@Paytmcare @vijayshekhar @rsprasad Paytm is takng cstmr for granted. Sm1 chngd my phone nmber of my wallet and rgst… https://t.co/X1KUlR9dWW
rstalwalkar,@Paytmcare adding Paytm and adding transaction reference https://t.co/nJGfDFAFtn https://t.co/mBbAKIpHC6
tikuranjan,why my account get blocked ? please contatct me asap @Paytm @Paytmcare
manishb55249201,@Paytm paytm is fraud. Fastag not activated since many days. No response from cutomer care. Dont buy anything from… https://t.co/4SKCSU88NV
paytmbankcare,"@AnilRai61388547 We would request you to track your order using Paytm App. If you need further assistance, please c… https://t.co/8aiux8rdnY"
paytmbankcare,"@Sandeep53546632 Hi, kindly share the RC copy (both front and back side) along with Barcode image showing in your P… https://t.co/VGxMgfFEQT"
SkRobiu94791095,@BCCI @Paytm I love Indian team
ArnavMELLO,"@paisawapas @timesprime
Cash back of rs800 for purchasing times prime membership still not received...! 
Paytm no.… https://t.co/pP9nCVRYPX"
janichetan,@patalkot @daveravi14 @Paytm @kumarmanish9 @TRAI I have also inform paytm about this
sanjaypuneri,@sunilnawde1 @anil010374 @PMOIndia You say paytm he will say yes. It's like you ask for mineral water you do not ge… https://t.co/84JSK4ufkY
paytmbankcare,"@MessiPugal Hi, In order to receive the cashback, please link your bank account with Paytm UPI. For more details, p… https://t.co/UlNdl8TZcL"
mk_manish,@miten @vijayshekhar @japanvyas @Paytm World would have been different if Hon'ble Dhirubhai Ambani's second son wou… https://t.co/OKheodrAFN
paytmbankcare,"@Agrawalankur08 Hi Ankur, Thank you for contacting Paytm Fastag Support Team. We regret to inform you that, as per… https://t.co/XcaBAhCAWd"
karunspeak,"@LiveFromALounge @Paytm Their little jingle is starting to sound like a toilet paper commercial, now. 🚽 #flushit"
AD5991,"@DeepikaBhardwaj Contributed small amount through paytm. Looking forward to your project. By the way, is Martyrsof… https://t.co/kbst1d5dnE"
pravasibaba,"#paytm i had ordered a #Fasttag a few weeks ago,But i havent recieved it yet.
I am not able to buy it from someplac… https://t.co/36LZx1till"
Paytmcare,"@cautsavshah Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. More… https://t.co/2iv0I27GRO"
mk_manish,"@miten @vijayshekhar @japanvyas Not exactly. 
4G blast came in 2016. Payment Banks in 2014. He might have set up so… https://t.co/d1JF4Lj8b4"
offerofworld,"Pay Box Refer And Earn : Rs. 50 Signup Up + Rs. 8 Paytm Per Friends. 
 
Link : https://t.co/ORoTlyveSw

Verify Your… https://t.co/HlaWW1KyC4"
giridharGD,@TanuLuvShreya @shreyaghoshal Paytm karo me n my frnd will go @PranavPd2 😝
arvvvindd,"@Paytm @Paytmcare @PaytmFirst 
I am trying to apply for the Paytm first credit card, but i am unable to select my D… https://t.co/x28RXKEm14"
rajshindeblr,@Paytm @vijayshekhar @Paytmcare * recommending it to my friends
priyanki12,@Paytm my reimbursement has been pending with you since last 10 working days. Will you pay my money or do you want… https://t.co/6g6SZXItR5
rajshindeblr,@Paytm @vijayshekhar @Paytmcare Guys. Its been over a month since I ordered my fasttag. Also made the mistake of re… https://t.co/c88XjI3qOF
krunaltanna4,"@PaytmFirst @PaytmCybercell @Paytm @Paytmcare @PaytmMall @PaytmMoney  Complaint ID- 147752997 
You have not solved… https://t.co/gVb1yXMsNE"
cautsavshah,@Paytm @MumbaiPolice please look into such malcious activities https://t.co/Ls397l4RvQ
feel_patel,"@iAnkitbdj Why on paytm not BMS ?🤔
#GoodNewwzOnPaytm"
Jalak16,Read all the threads and attend my queries @Paytmcare @Paytm on priority.
kanishk26,Its been more than a week of my 1L fraud via #paytm #upi &amp; no leads yet Without any controls how r v even thinking… https://t.co/Bk4PBATubJ
Paytmcare,"@mayurbhandarkar Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages.… https://t.co/zzEYBHMOA0"
paytmbankcare,@SachinS79146938 You can also contact us through our in-app support section at https://t.co/d97OFba48j or let us kn… https://t.co/XNIPTssCew
galavishal_80,@Paytmcare my paytm wallet balance is Rs.2819.39 while when i make payment is shows as NIL Balance . Refer 2 pics /… https://t.co/LcbPaFHfKQ
turjyasaha,"@paytmbankcare Dear @Paytmcare @Paytm
I am talking about wallet money add offers. I added Rs. 1001 in wallet by UPI… https://t.co/PJLhNLLxbK"
SakshiC41561043,@Paytmcare @Paytm @paytmbankcare please tell me how I can explain it better to you.
Ajeet1994,"@narendramodi @myogiadityanath Pls send your @Paytm number. 
#communalshowers 
#RamMandir https://t.co/zvoJVeIW8p"
Sanjeevjha1973,@vijayshekhar @paytmmallcare @DelhiPolice @ndtv @consaff what an arrogance of paytm. They are not afraid of anybody… https://t.co/bFcfYHlnUs
drnkagrawal,"@FASTag_NETC applied fast tag 29th Nov on Paytm,not rec'd till date. Original promise was for 12thdec. They are kee… https://t.co/fDq9uOB8Ps"
aamTECH_net,@PaytmBank got some fishy transactions from ptmupf@paytm. Please share more details.
Paytmcare,"@nishith8008 3. Don't share your login details, transaction IDs or order IDs over unsolicited calls/ emails/ websit… https://t.co/l36JBtM4jF"
RadResidentSJH,@LiveFromALounge Ya hv read..its only for paytm rupay card
Abhi_Pradhan27,@KartikDaga @redBus_in I had a very bad experience with redbus and they don't even respond to their customer. It's… https://t.co/TcJ50KSius
RohitManaktala,@paytmbankcare Fail to understand why this simple issue is taking so long to be done. I have given you vehicle rc a… https://t.co/XqnwbQ0nNd
mayurbhandarkar,"PayTM fraud via SMS. Beware! Avoid the number, and its variations, as seen in the attached image. @PaytmCybercell… https://t.co/T7DvcG24A8"
jimishbathia,Infact I even managed to use paytm to pay the last ride. Still am unable to book rides gives the same error shown above
BhardwajV21,@vijayshekhar Sir your paytm fast tag service is worst compare to other companies. I have applied for fast tag on 1… https://t.co/fPAIBP3MAW
ajkohli,@paytmbankcare Quite unprofessional of paytm to close a customer complaint without providing any resolution ... or… https://t.co/VQKlLcPlqw
PremjethwaPj,@Paytmcare we saw pos card swipe machine at some outlets is it available for all merchants?? If yes then what is th… https://t.co/NHgJQ3YoP4
Ashishprad1103,@PaytmCybercell Team i need your help as i receive a call and he asked me that i am doing your Paytm kyc so please… https://t.co/G4nJcM0b6l
smit141299,@Paytmcare  i am call on Paytm fastag helpline number but call not pickup by customer care. And call cut automatica… https://t.co/Kq2MEzmd0d
bhaavuu,@bookmyshow_sup Paytm is better thn this.. they have good offers
DharmaMovies,"#KareenaKapoorKhan being savage for 30 seconds straight. You're welcome!😉

#GoodNewwz in cinemas this #Friday! 
Boo… https://t.co/Iiv6EGTGso"
Debasisdas1989,@VodafoneIN There is something wrong with internet service. Paytm takes 5 minutes to pay and it worked perfectly fi… https://t.co/2Cg7DMMArb
devmicrosoft,"@Paytm @vijayshekhar I did not received the tag yet,expected date was12Dec but is still and showing that is Deliver… https://t.co/ynXdrqYVNF"
Ranjith59171264,@dhoomralochana @B4Politics @SuprajaKilari Neeku kurnool kaval...we will give one tea shop go and enjoy ok....don't… https://t.co/DZQOMd8H56
abhilashmjain,"@AxisBank @NPCI_NPCI Very very bad services, did recharge payment by paytm upi, Rech not done yet, no response no support from axis bank."
MahtabKaEx,"New Self Earning App | New Earning App Paytm Cash | Best Earning Apps For Android

https://t.co/Bsy7tdB7Ng"
ManaliModi8,Called on paytm customer care Atleast 10 times but all support executives are busy on other calls. Trying to contac… https://t.co/1TJ8U0zewJ
SaveMoneyTT1,Paytm Loot Flat Rs-50 Cashback || Paytm Add Money Rs-25-100 Cashback Limited Time Loot https://t.co/vbs9VPpYr9 https://t.co/5gqqtOqQ8i
Paytmcare,"@iamsuvi21 Hi,
Paytm has no relation whatsoever with such sms/s. We suggest you to not to respond to it. It may lea… https://t.co/i73K43RbLw"
odishavoice,@vijayshekhar @rajendra_tiwari @Paytm Massive #paytm scam. Money being deducted in full and being transferred to un… https://t.co/IDdtEDcVzp
odishavoice,@vijayshekhar Massive #paytm scam. Money being deducted in full and being transferred to unknown number. Advise all… https://t.co/gl3EsSkYKM
keshav_mukundan,"@BCCI @Paytm Shardu and Jaddu, players cum planners. Spirited bats. When in nee:d, the best indeed! Jai Khel Shrima… https://t.co/C7wQayF4lE"
odishavoice,@Paytm Massive #paytm scam. Money being deducted in full and being transferred to unknown number. Advise all to wit… https://t.co/2KOrE0PPGy
ajkohli,@paytmbankcare I got an email from paytm that my issue is resolved .... can you explain how ????
ashwani2k,@manishchahar @Paytm @Paytmcare I'm aware. But paytm should take serious action against them.
paytmmallcare,"@TinkuDhankhar02 Apologies for the trouble, we have initiated a refund for your money on 24/12/2019 at 07:21:23 AM… https://t.co/Fs6ggmlUxn"
imneeld,@paytm your fastag service is pathetic. I have two cars registerd on same no 9937569906. Fastag wallet not activate… https://t.co/xOLmnOPx2Q
ManaliModi8,@paytm @PaytmTickets Looks like paytm is stealing money from people's account. Money deducted without any notificat… https://t.co/xC2FlKiJYg
odishavoice,@Paytm @PaytmBank Massive #paytm scam. Money being deducted in full and being transferred to unknown number. Advise… https://t.co/bNoDJdCeXx
odishavoice,Massive #paytm scam. Money being deducted in full and being transferred to unknown number. Advise all to withdraw a… https://t.co/btMUFMakcl
lankeamol,"@MumbaiPolice @CPMumbaiPolice @ThaneCityPolice @Navimumpolice

Please help in catching parv khandelwal no.996730235… https://t.co/kxWoXlROoS"
Paytmcare,"@sanketja Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreove… https://t.co/5jzUlCOKz1"
sanketja,"@Paytmcare Are this msg valid PAYTM
Dear paytm customer your KYC has been suspended.Paytm office pH 73841165xx call… https://t.co/1ih2q0WxaZ"
guri_singh113,Still no response from Paytm fraud case. Kindly take some strict action against paytm they are looting money in nam… https://t.co/VWBLKttNm9
VIJAYMINOCHA,This fraud is going for quite some time with paytm account holders only by another set of paytm account holders wit… https://t.co/XDvMLGQiFd
ZeeStudios_,"Gather around, it's time to laugh with the Batras! Catch the #GoodNewwz trailer on your television screens today at… https://t.co/hlUUArjvkG"
thiyaga2696,"@Paytmcare 

#PoorSupportPaytm
Worst customer care support faced so far.

Query Ref: 150294534

I have raised a req… https://t.co/zuRuOFc5Hw"
paytmbankcare,"@Sudhir_Sharma_ Hi, kindly share the RC copy (both front and back side) along with Barcode image showing in your Pa… https://t.co/oK9pxKxMMG"
Paytmcare,"@myfrozzenheart Hi, we are keen to help. Kindly elaborate your concern along with your Paytm registered mobile numb… https://t.co/tQDUanxwbX"
ArunaPrasadNay2,"Starting off the new year with these men leading #TeamIndia's charge! 🙌

Can the trusted 15 take on the Lankan chal… https://t.co/HybZLPNoxZ"
paytmmallcare,"@Nagesh051 Hi Nagesh, we have refunded your money on 24/12/2019 to HDFC account. Your bank will credit money post i… https://t.co/APPhoLNjt2"
paytmbankcare,@saikishore_rock Hi! While sending money to bank from your wallet a 5% charge is levied. This charge is applicable… https://t.co/CntR3JA4di
odishavoice,#paytm  Similar #fraud fraud transfer has happened with me also. Timing is same. mobile number in which transferred… https://t.co/uEgLrJH39t
SandZ_92,"@paytmbankcare Oh hell no, never purchasing or transacting from paytm ever. Good day"
paytmbankcare,@anirbanguha40 For amount lower than INR 2000/- we request you to use other payment modes available on our app such… https://t.co/y1IQEGA0Mi
PaytmTickets,"Q5.  The voices behind ""Sauda Khara Khara"" song from #GoodNewwz are _______

#GoodNewwzOnPaytm… https://t.co/1AcMjFeboJ"
Shureshprince,@Reddybargav That center will decide what was amaravati and bramaravati go and  post paytm posts
paytmmallcare,"@khan321imran786 Hi Imran, we have refunded your money on 24/12/2019 at 06:23:17 PM to CITI account. Your bank will… https://t.co/wm8D5kfs0z"
DiaRawat,"@OfficialDMRC 
I mistakenly recharged my card from pay tm which is already lost, pls advise how to get back the amo… https://t.co/wagSYuB2eT"
SaveUcs,free paytm cash !! paytm cashback offer flat 50 cashback !! Nts Trick https://t.co/mUrLkkAMbt https://t.co/wKQ0mRwzJb
LiveFromALounge,No more @Paytm karo for lounge access https://t.co/BU1Ktd1i7I
narenneal,"What the hell is going with @Uber , I booked a ride came down to board my ride and driver completed the ride , even… https://t.co/QHvYaI2Xh1"
paytmbankcare,"@namonamomahadev We would request you to track your order using Paytm App. If you need further assistance, please c… https://t.co/Rh6ftgprEy"
sahilkataria21,"@Paytmcare @paytmfasttag
I have been charged toll charges two times on same day on paytm fasttag. returned journey… https://t.co/wuaX6XEmks"
cardio_karma,@Paytmcare Received a Fastag but can't find options to activate it. Can't upload RC images in the options given on… https://t.co/PX0zbwoISL
roydebsnp,PAYTM is a unsecure organization. Seized the organization. For details contact me at 8168891767. Kindly take action… https://t.co/ij84CQ7nv9
roydebsnp,@indiatvnews Today at 2 pm automatically 10000 debited from my PAYTM PAYMENT BANKS account. But not taken seriously… https://t.co/RGsieh07BL
karthik1459,"@Maganti_Ramji We can call them ""PayTm batch"""
RowdyRahul20,"Win Upto 5 CRORES of Paytm Cash Daily in your wallet by Playing Fun Games on *Paytm First Games Pro* App. Also, Get… https://t.co/KfFrgMYMu9"
SathyaNayak,@MORTHIndia @spdkpolice @DCDK9 @vedavyasbjp @nitin_gadkari @PMOIndia @paytmbankcare @Paytmcare No help whatsoever.… https://t.co/GIH4hPp5cT
odishavoice,"@PaytmCybercell @Paytm @Paytmcare @vijayshekhar The timing sharp 1800 hrs, no clue in my phone, phone not having in… https://t.co/ae7fO7Bsbv"
Jalak16,"No solution to queries raised 15 days back. Pathetic services. Why people trust paytm ? And more so, it’s now a ban… https://t.co/XM5gs51pQe"
DharmaMovies,"Gather around, it's time to laugh with the Batras! Catch the #GoodNewwz trailer on your television screens today at… https://t.co/crZAi5RKXJ"
roydebsnp,PAYTM is a unsecure organization. Seized the organization. For details contact me at 8168891767. Kindly take action… https://t.co/jXrNDAy8CV
roydebsnp,@ABPNews Today at 2 pm automatically 10000 debited from my PAYTM PAYMENT BANKS account. But not taken seriously by… https://t.co/RrnNlkJi1j
rajee_raju,@vinodsajnani @Paytm I also received the same msg tiday https://t.co/ru6gXGaPFX
buntyvalia,@Paytm send some to complete the kyc for 9830606316
myfrozzenheart,@Paytm i've lost my 50k while booking a ticket but didn't get my money back plz help its been 10 days not able to r… https://t.co/yJVscOacMk
odishavoice,@PaytmCybercell @Paytm @Paytmcare @vijayshekhar Please check fraud in your paytmapp. Amount Rs 1578.66 deducted fro… https://t.co/6qVBQriaGp
roydebsnp,PAYTM is a unsecure organization. Seized the organization. For details contact me at 8168891767. Kindly take action… https://t.co/QP4jsBNfPW
roydebsnp,@AmitShah  Dear Sir Please note that Today at 2 pm automatically 10000 debited from my PAYTM PAYMENT BANKS account.… https://t.co/sEwOY3oK5B
ChiragS94997977,"Now even today when I made a call to Paytm care, the executive again asked me to wait for 48 hours. And both the ti… https://t.co/e22cwOUjk5"
ChiragS94997977,"But that's false. I haven't received any card.

I even raised the query to a Paytm care executive who told me to wa… https://t.co/sCCF5pK2Ky"
ChiragS94997977,"I purchased a fastag card on Paytm wherein I was supposed to get the delivery on 21st of December 2019.

Now on the… https://t.co/SPkvtNNVkv"
vinodsajnani,"#cybercrime #Alert 
One more fake SMS to comply with @paytm KYC recd by my  family member.
Why is @paytmcare keepin… https://t.co/fdsRbm8QJD"
paytmbankcare,"@abhishek_1808 Hi, we want to inform you that we have fixed the issue and follow below-mentioned steps:

1. Login t… https://t.co/s3ssulL0VR"
Bhargav2004,@Paytm   I have booked bus ticket on (2/12/2019). And the bus i have booked was cancelled and i got a message that… https://t.co/wopvUwKxLX
chanducsks,"@Paytm Very pathetic merchant service.
I receivd amount of 6K in my merchant account but still it's not settled to… https://t.co/0MSu8TZgkx"
CA_UTKhandelwal,@Paytm  @vijayshekhar I bought fastags from paytm but the amount still shows nil on paytm app. Please resolve this… https://t.co/TRMsVrkHRz
evilkill420,"already tried still no solution provided by paytm bad customer service blocked my money and not giving back
@Paytm… https://t.co/cylQ8l6dA7"
Surajsi04346741,@HDFC_Bank Your payment gateway from paytm wallet is not working. Its showing that I have a invalid loan account .… https://t.co/bJCgf7O7Ro
SakshiC41561043,@Paytmcare @Paytm @paytmbankcare please return my money. I will not leave you for the fraud that has happened with… https://t.co/VGKtkRXIie
SakshiC41561043,@Paytmcare @paytmbankcare @Paytm your executive told me he'll call me in 3 days to follow up whether I have got my… https://t.co/ynYCOtWPVM
subhendu_90,"@Paytmcare Each time customer care keeps saying we have received RC copy and will be activated with 48hrs from now,… https://t.co/uH1LmDMsNh"
paytmbankcare,"@dpk145 Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with som… https://t.co/IgB8CQkMBe"
paytmbankcare,@ganjoo1988 For amount lower than INR 2000/- we request you to use other payment modes available on our app such as… https://t.co/bIi4agyQhh
PimbG,Earn Money Just by playing games online| Earn Paytm cash| Top secret https://t.co/73rRG1SoOa https://t.co/zOeYecXluh
SakshiC41561043,@Paytm @Paytmcare @paytmbankcare just because you think general people can't get you since they would get bzy in th… https://t.co/ePAPosSvDc
TechThaimozhi,"How to pay EB bill in tamil #Paytm
#phonepay #googlepay #thaimozhi #tech #tamiltechnew https://t.co/BYNF32yGWw https://t.co/BAtBC1DMPY"
DecadeSteel,Happy to announce the winner of the  #LikeRefer&amp;FollowContest Mr. Rahul from Karimnagar has won Paytm voucher worth… https://t.co/2q0eQmKUjF
paytmbankcare,"@sandhuas24 Hi Amarpreet! Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief d… https://t.co/YrNswgWBmI"
